seconds,gps_longitude,gps_latitude,gps_speed,gps_altitude,gps_bearing,gps_time,Timestamp
13.643261453,29.58048108,30.87831076,4.0,52.0,146.10000610351562,1513085406000.0,2017-12-12 03:30:06.457261000
13.726590828,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:06.540591000
13.80811562,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:06.622116000
13.889991766,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:06.703992000
13.971632286,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:06.785632000
14.054993276,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:06.868993000
14.136828953,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:06.950829000
14.218824109,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:07.032824000
14.303394057,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:07.117394000
14.386124162,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:07.200124000
14.476469057,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:07.290469000
14.553091817,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:07.367092000
14.648074005,29.58050721,30.87827603,4.25,53.0,146.1999969482422,1513085407000.0,2017-12-12 03:30:07.462074000
14.743269734,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:07.557270000
14.805307807,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:07.619308000
14.877483224,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:07.691483000
14.958600307,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:07.772600000
15.041170099,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:07.855170000
15.12227088,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:07.936271000
15.203419994,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:08.017420000
15.285026662,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:08.099027000
15.366271089,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:08.180271000
15.450448172,29.58053636,30.87823929,4.5,54.0,146.1999969482422,1513085408000.0,2017-12-12 03:30:08.264448000
